year,color_name,rgb,quantity,color_info
1949,Blue,0055BF,48,Blue (0055BF)
1949,Bright Green,4B9F4A,3,Bright Green (4B9F4A)
1949,Green,237841,78,Green (237841)
1949,Red,C91A09,77,Red (C91A09)
1949,Vintage Blue,039CBD,24,Vintage Blue (039CBD)
1949,Vintage Green,1E601E,32,Vintage Green (1E601E)
1949,Vintage Red,CA1F08,31,Vintage Red (CA1F08)
1949,Vintage Yellow,F3C305,24,Vintage Yellow (F3C305)
1949,White,FFFFFF,123,White (FFFFFF)
1949,Yellow,F2CD37,58,Yellow (F2CD37)
1950,Blue,0055BF,2,Blue (0055BF)
1950,Green,237841,3,Green (237841)
1950,Red,C91A09,1,Red (C91A09)
1953,Blue,0055BF,2,Blue (0055BF)
1953,Green,237841,12,Green (237841)
1953,Red,C91A09,12,Red (C91A09)
1953,White,FFFFFF,12,White (FFFFFF)
1953,Yellow,F2CD37,12,Yellow (F2CD37)
1954,Blue,0055BF,17,Blue (0055BF)
1954,Light Gray,9BA19D,1,Light Gray (9BA19D)
1954,Red,C91A09,52,Red (C91A09)
1954,Trans-Clear,FCFCFC,2,Trans-Clear (FCFCFC)
1954,White,FFFFFF,45,White (FFFFFF)
1955,Blue,0055BF,192,Blue (0055BF)
1955,Green,237841,6,Green (237841)
1955,Red,C91A09,82,Red (C91A09)
1955,Trans-Clear,FCFCFC,3,Trans-Clear (FCFCFC)
1955,White,FFFFFF,197,White (FFFFFF)
1955,Yellow,F2CD37,7,Yellow (F2CD37)
1955,[No Color/Any Color],05131D,1,[No Color/Any Color] (05131D)
1956,Blue,0055BF,6,Blue (0055BF)
1956,Red,C91A09,97,Red (C91A09)
1956,Trans-Clear,FCFCFC,11,Trans-Clear (FCFCFC)
1956,White,FFFFFF,168,White (FFFFFF)
1956,Yellow,F2CD37,6,Yellow (F2CD37)
1956,[No Color/Any Color],05131D,7,[No Color/Any Color] (05131D)
1957,Black,05131D,1,Black (05131D)
1957,Blue,0055BF,64,Blue (0055BF)
1957,Green,237841,8,Green (237841)
1957,HO Earth Orange,bb771b,1,HO Earth Orange (bb771b)
1957,HO Light Brown,965336,1,HO Light Brown (965336)
1957,HO Light Gold,cdc298,1,HO Light Gold (cdc298)
1957,HO Medium Red,c01111,1,HO Medium Red (c01111)
1957,HO Olive Green,9B9A5A,1,HO Olive Green (9B9A5A)
1957,HO Sand Blue,6e8aa6,1,HO Sand Blue (6e8aa6)
1957,HO Tan,E4CD9E,1,HO Tan (E4CD9E)
1957,Light Gray,9BA19D,3,Light Gray (9BA19D)
1957,Metal,A5ADB4,2,Metal (A5ADB4)
1957,Red,C91A09,226,Red (C91A09)
1957,Trans-Clear,FCFCFC,35,Trans-Clear (FCFCFC)
1957,White,FFFFFF,470,White (FFFFFF)
1957,[No Color/Any Color],05131D,4,[No Color/Any Color] (05131D)
1958,Black,05131D,195,Black (05131D)
1958,Blue,0055BF,92,Blue (0055BF)
1958,Green,237841,16,Green (237841)
1958,HO Aqua,B3D7D1,1,HO Aqua (B3D7D1)
1958,HO Blue-gray,354e5a,1,HO Blue-gray (354e5a)
1958,HO Cyan,5b98b3,1,HO Cyan (5b98b3)
1958,HO Dark Aqua,a7dccf,1,HO Dark Aqua (a7dccf)
1958,HO Dark Blue,0A3463,1,HO Dark Blue (0A3463)
1958,HO Dark Green,184632,1,HO Dark Green (184632)
1958,HO Dark Lime,b2b955,1,HO Dark Lime (b2b955)
1958,HO Dark Red,631314,1,HO Dark Red (631314)
1958,HO Dark Sand Green,627a62,1,HO Dark Sand Green (627a62)
1958,HO Earth Orange,bb771b,1,HO Earth Orange (bb771b)
1958,HO Gold,b4a774,1,HO Gold (b4a774)
1958,HO Light Aqua,a3d1c0,1,HO Light Aqua (a3d1c0)
1958,HO Light Gold,cdc298,1,HO Light Gold (cdc298)
1958,HO Light Tan,f9f1c7,1,HO Light Tan (f9f1c7)
1958,HO Light Yellow,f5fab7,1,HO Light Yellow (f5fab7)
1958,HO Medium Blue,7396c8,1,HO Medium Blue (7396c8)
1958,HO Medium Red,c01111,1,HO Medium Red (c01111)
1958,HO Metallic Blue,0d4763,1,HO Metallic Blue (0d4763)
1958,HO Metallic Dark Gray,5e5e5e,1,HO Metallic Dark Gray (5e5e5e)
1958,HO Metallic Green,879867,1,HO Metallic Green (879867)
1958,HO Metallic Sand Blue,5f7d8c,1,HO Metallic Sand Blue (5f7d8c)
1958,HO Olive Green,9B9A5A,1,HO Olive Green (9B9A5A)
1958,HO Rose,d06262,1,HO Rose (d06262)
1958,HO Sand Blue,6e8aa6,1,HO Sand Blue (6e8aa6)
1958,HO Sand Green,A0BCAC,1,HO Sand Green (A0BCAC)
1958,HO Tan,E4CD9E,1,HO Tan (E4CD9E)
1958,HO Titanium,616161,1,HO Titanium (616161)
1958,Light Gray,9BA19D,2,Light Gray (9BA19D)
1958,Metal,A5ADB4,10,Metal (A5ADB4)
1958,Red,C91A09,137,Red (C91A09)
1958,Trans-Clear,FCFCFC,27,Trans-Clear (FCFCFC)
1958,White,FFFFFF,640,White (FFFFFF)
1958,Yellow,F2CD37,15,Yellow (F2CD37)
1958,[No Color/Any Color],05131D,6,[No Color/Any Color] (05131D)
1959,Black,05131D,1,Black (05131D)
1959,Blue,0055BF,21,Blue (0055BF)
1959,HO Dark Blue,0A3463,1,HO Dark Blue (0A3463)
1959,HO Light Tan,f9f1c7,1,HO Light Tan (f9f1c7)
1959,HO Metallic Dark Gray,5e5e5e,1,HO Metallic Dark Gray (5e5e5e)
1959,Light Gray,9BA19D,1,Light Gray (9BA19D)
1959,Red,C91A09,22,Red (C91A09)
1959,White,FFFFFF,8,White (FFFFFF)
1959,[No Color/Any Color],05131D,1,[No Color/Any Color] (05131D)
1960,Black,05131D,20,Black (05131D)
1960,Blue,0055BF,50,Blue (0055BF)
1960,Green,237841,2,Green (237841)
1960,Red,C91A09,160,Red (C91A09)
1960,Trans-Clear,FCFCFC,26,Trans-Clear (FCFCFC)
1960,White,FFFFFF,237,White (FFFFFF)
1960,Yellow,F2CD37,30,Yellow (F2CD37)
1960,[No Color/Any Color],05131D,1,[No Color/Any Color] (05131D)
1961,Black,05131D,14,Black (05131D)
1961,Blue,0055BF,154,Blue (0055BF)
1961,Green,237841,11,Green (237841)
1961,Light Gray,9BA19D,14,Light Gray (9BA19D)
1961,Metal,A5ADB4,1,Metal (A5ADB4)
1961,Red,C91A09,508,Red (C91A09)
1961,Trans-Clear,FCFCFC,154,Trans-Clear (FCFCFC)
1961,White,FFFFFF,538,White (FFFFFF)
1961,Yellow,F2CD37,190,Yellow (F2CD37)
1961,[No Color/Any Color],05131D,7,[No Color/Any Color] (05131D)
1962,Black,05131D,349,Black (05131D)
1962,Blue,0055BF,28,Blue (0055BF)
1962,Green,237841,10,Green (237841)
1962,Light Gray,9BA19D,5,Light Gray (9BA19D)
1962,Metal,A5ADB4,1,Metal (A5ADB4)
1962,Red,C91A09,140,Red (C91A09)
1962,Trans-Clear,FCFCFC,131,Trans-Clear (FCFCFC)
1962,White,FFFFFF,449,White (FFFFFF)
1962,Yellow,F2CD37,1,Yellow (F2CD37)
1962,[No Color/Any Color],05131D,6,[No Color/Any Color] (05131D)
1963,Black,05131D,180,Black (05131D)
1963,Blue,0055BF,178,Blue (0055BF)
1963,Green,237841,3,Green (237841)
1963,HO Azure,1591cb,1,HO Azure (1591cb)
1963,HO Dark Gray,6D6E5C,2,HO Dark Gray (6D6E5C)
1963,Light Gray,9BA19D,61,Light Gray (9BA19D)
1963,Milky White,FFFFFF,5,Milky White (FFFFFF)
1963,Modulex Aqua Green,27867E,3,Modulex Aqua Green (27867E)
1963,Modulex Black,4D4C52,30,Modulex Black (4D4C52)
1963,Modulex Brown,907450,3,Modulex Brown (907450)
1963,Modulex Buff,DEC69C,20,Modulex Buff (DEC69C)
1963,Modulex Clear,FFFFFF,1234,Modulex Clear (FFFFFF)
